rank_year,rank,player_name,player_name_norm,fangraphs_player_id,org,position,level,fv,risk,eta
2021,1,Wander Franco,wander franco,23667,TBR,SS,MLB,80,Med,2022
2021,2,Adley Rutschman,adley rutschman,26288,BAL,C,MLB,65,Med,2021
2021,3,Randy Arozarena,randy arozarena,19290,TBR,LF,MLB,60,Low,2021
2021,4,Jarred Kelenic,jarred kelenic,22558,SEA,RF,MLB,60,Med,2021
2021,5,CJ Abrams,cj abrams,25768,SDP,2B,MLB,60,High,2023
2021,6,Ke'Bryan Hayes,kebryan hayes,18577,PIT,3B,MLB,60,Low,2021
2021,7,Spencer Torkelson,spencer torkelson,27465,DET,1B,MLB,60,Med,2022
2021,8,Marco Luciano,marco luciano,25616,SFG,SS,AAA,60,High,2023
2021,9,Nate Pearson,nate pearson,20160,TOR,SP,MLB,60,High,2021
2021,10,Cristian Pache,cristian pache,19948,ATL,CF,AAA,60,Med,2021
2021,11,Luis Patiño,luis patino,22815,TBR,SP,,60,High,2021
2021,12,Ian Anderson,ian anderson,19951,ATL,SP,,60,Med,2021
2021,13,Andrew Vaughn,andrew vaughn,26197,CHW,1B,MLB,60,Low,2021
2021,14,Brandon Marsh,brandon marsh,20202,LAA,CF,MLB,60,Med,2021
2021,15,Dylan Carlson,dylan carlson,20126,STL,LF,AAA,60,Med,2021
2021,16,Alex Kirilloff,alex kirilloff,20325,MIN,RF,,60,Med,2021
2021,17,Bobby Witt Jr.,bobby witt jr,25764,KCR,SS,MLB,60,High,2022
2021,18,Julio Rodríguez,julio rodriguez,23697,SEA,RF,MLB,60,High,2022
2021,19,Matt Manning,matt manning,20369,DET,SP,,60,High,2021
2021,20,Riley Greene,riley greene,25976,DET,RF,MLB,60,Med,2022
2021,21,Corbin Carroll,corbin carroll,25878,ARI,CF,MLB,60,Med,2023
2021,22,Tarik Skubal,tarik skubal,22267,DET,SP,MLB,60,High,2021
2021,23,Vidal Bruján,vidal brujan,20536,TBR,2B,MLB,60,High,2021
2021,24,Asa Lacy,asa lacy,sa3014423,KCR,SP,,55,High,2022
2021,25,Max Meyer,max meyer,27474,MIA,SP,MLB,55,High,2021
2021,26,Luis Campusano,luis campusano,22217,SDP,C,MLB,55,High,2022
2021,27,Josiah Gray,josiah gray,24580,LAD,SP,MLB,55,Med,2022
2021,28,Grayson Rodriguez,grayson rodriguez,24492,BAL,SP,MLB,55,High,2023
2021,29,Francisco Alvarez,francisco alvarez,26121,NYM,C,MLB,55,High,2023
2021,30,Casey Mize,casey mize,20492,DET,SP,MLB,55,Med,2021
2021,31,Michael Kopech,michael kopech,17282,CHW,SP,,55,Med,2021
2021,32,DL Hall,dl hall,22207,BAL,MIRP,MLB,55,High,2022
2021,33,MacKenzie Gore,mackenzie gore,22201,SDP,SP,MLB,55,Med,2021
2021,34,Trevor Larnach,trevor larnach,21501,MIN,RF,MLB,55,Med,2021
2021,35,Logan Gilbert,logan gilbert,22250,SEA,SP,MLB,55,Med,2021
2021,36,Nick Madrigal,nick madrigal,20521,CHW,2B,AAA,55,Low,2021
2021,37,Nolan Gorman,nolan gorman,22263,STL,3B,MLB,55,High,2022
2021,38,Brennen Davis,brennen davis,sa3007876,CHC,CF,AAA,55,High,2023
2021,39,Sixto Sánchez,sixto sanchez,19680,MIA,SP,AAA,55,High,2021
2021,40,Austin Martin,austin martin,27462,TOR,CF,MLB,55,Med,2022
2021,41,Alek Thomas,alek thomas,23792,ARI,LF,CPX,55,Med,2022
2021,42,Triston Casas,triston casas,22514,BOS,1B,MLB,55,Med,2023
2021,43,Jazz Chisholm Jr.,jazz chisholm jr,20454,MIA,SS,MLB,55,High,2021
2021,44,Noelvi Marte,noelvi marte,26517,SEA,SS,AAA,55,High,2023
2021,45,Ronny Mauricio,ronny mauricio,23698,NYM,SS,MLB,55,High,2023
2021,46,José Barrero,jose barrero,23378,CIN,SS,AAA,55,High,2021
2021,47,Royce Lewis,royce lewis,20437,MIN,SS,AAA,55,High,2022
2021,48,Drew Waters,drew waters,20505,ATL,CF,AAA,55,High,2022
2021,49,Jasson Domínguez,jasson dominguez,28080,NYY,CF,MLB,50,High,2025
2021,50,Jeter Downs,jeter downs,22202,BOS,2B,,50,Med,2022
